filename;cz;en;latin
*DEFAULT*;;;
IMG_5912_Brokesie nofyjská (Brookesia nofy) ;brokesie nofyjská;Nofy leaf chameleon;Brookesia nofy
7H3A1297-topaz-denoise;nefila zlatá;Golden silk orb-weaver;Trichonephila inaurata
IMG_5890;běžník;Crab spider;Thomisidae sp.
7H3A1140Chameleon-topaz-rawdenoise;chameleon pardálí;Panther chameleon;Furcifer pardalis
7H3A5698-topaz-denoise;chameleon Parsonův;Parson's chameleon;Calumma parsonii
